Orthogroup	BU_ATCC8492	BU_ATCC8492_copy	BU_ATCC8492_copy_copy
OG0000814	BU_ATCC8492_00687	BU_ATCC8492_00687	BU_ATCC8492_00687
OG0000815	BU_ATCC8492_00688	BU_ATCC8492_00688	BU_ATCC8492_00688
OG0000816	BU_ATCC8492_00689	BU_ATCC8492_00689	BU_ATCC8492_00689
OG0000817	BU_ATCC8492_00690	BU_ATCC8492_00690	BU_ATCC8492_00690
OG0000818	BU_ATCC8492_00691	BU_ATCC8492_00691	BU_ATCC8492_00691
OG0000819	BU_ATCC8492_00692	BU_ATCC8492_00692	BU_ATCC8492_00692
OG0000820	BU_ATCC8492_00693	BU_ATCC8492_00693	BU_ATCC8492_00693
OG0000821	BU_ATCC8492_00694	BU_ATCC8492_00694	BU_ATCC8492_00694
OG0000822	BU_ATCC8492_00695	BU_ATCC8492_00695	BU_ATCC8492_00695
OG0000823	BU_ATCC8492_00696	BU_ATCC8492_00696	BU_ATCC8492_00696
OG0000824	BU_ATCC8492_00697	BU_ATCC8492_00697	BU_ATCC8492_00697
OG0000825	BU_ATCC8492_00698	BU_ATCC8492_00698	BU_ATCC8492_00698
OG0000826	BU_ATCC8492_00699	BU_ATCC8492_00699	BU_ATCC8492_00699
OG0000827	BU_ATCC8492_00700	BU_ATCC8492_00700	BU_ATCC8492_00700
OG0000828	BU_ATCC8492_00701	BU_ATCC8492_00701	BU_ATCC8492_00701
OG0000829	BU_ATCC8492_00702	BU_ATCC8492_00702	BU_ATCC8492_00702
OG0000830	BU_ATCC8492_00703	BU_ATCC8492_00703	BU_ATCC8492_00703
OG0000831	BU_ATCC8492_00704	BU_ATCC8492_00704	BU_ATCC8492_00704
OG0000832	BU_ATCC8492_00705	BU_ATCC8492_00705	BU_ATCC8492_00705
OG0000833	BU_ATCC8492_00706	BU_ATCC8492_00706	BU_ATCC8492_00706
OG0000834	BU_ATCC8492_00707	BU_ATCC8492_00707	BU_ATCC8492_00707
OG0000835	BU_ATCC8492_00708	BU_ATCC8492_00708	BU_ATCC8492_00708
OG0000836	BU_ATCC8492_00709	BU_ATCC8492_00709	BU_ATCC8492_00709
OG0000837	BU_ATCC8492_00710	BU_ATCC8492_00710	BU_ATCC8492_00710
OG0000838	BU_ATCC8492_00711	BU_ATCC8492_00711	BU_ATCC8492_00711
OG0000839	BU_ATCC8492_00712	BU_ATCC8492_00712	BU_ATCC8492_00712
OG0000840	BU_ATCC8492_00713	BU_ATCC8492_00713	BU_ATCC8492_00713
OG0000841	BU_ATCC8492_00715	BU_ATCC8492_00715	BU_ATCC8492_00715
OG0000842	BU_ATCC8492_00716	BU_ATCC8492_00716	BU_ATCC8492_00716
OG0000843	BU_ATCC8492_00717	BU_ATCC8492_00717	BU_ATCC8492_00717
OG0000844	BU_ATCC8492_00718	BU_ATCC8492_00718	BU_ATCC8492_00718
OG0000845	BU_ATCC8492_00719	BU_ATCC8492_00719	BU_ATCC8492_00719
OG0000846	BU_ATCC8492_00722	BU_ATCC8492_00722	BU_ATCC8492_00722
OG0000847	BU_ATCC8492_00723	BU_ATCC8492_00723	BU_ATCC8492_00723
OG0000848	BU_ATCC8492_00724	BU_ATCC8492_00724	BU_ATCC8492_00724
OG0000849	BU_ATCC8492_00725	BU_ATCC8492_00725	BU_ATCC8492_00725
OG0000850	BU_ATCC8492_00726	BU_ATCC8492_00726	BU_ATCC8492_00726
OG0000851	BU_ATCC8492_00727	BU_ATCC8492_00727	BU_ATCC8492_00727
OG0000852	BU_ATCC8492_00728	BU_ATCC8492_00728	BU_ATCC8492_00728
OG0000853	BU_ATCC8492_00729	BU_ATCC8492_00729	BU_ATCC8492_00729
OG0000854	BU_ATCC8492_00730	BU_ATCC8492_00730	BU_ATCC8492_00730
OG0000855	BU_ATCC8492_00731	BU_ATCC8492_00731	BU_ATCC8492_00731
OG0000856	BU_ATCC8492_00732	BU_ATCC8492_00732	BU_ATCC8492_00732
OG0000857	BU_ATCC8492_00733	BU_ATCC8492_00733	BU_ATCC8492_00733
OG0000858	BU_ATCC8492_00734	BU_ATCC8492_00734	BU_ATCC8492_00734
OG0000859	BU_ATCC8492_00735	BU_ATCC8492_00735	BU_ATCC8492_00735
OG0000860	BU_ATCC8492_00736	BU_ATCC8492_00736	BU_ATCC8492_00736
OG0000861	BU_ATCC8492_00737	BU_ATCC8492_00737	BU_ATCC8492_00737
OG0000862	BU_ATCC8492_00738	BU_ATCC8492_00738	BU_ATCC8492_00738
OG0000863	BU_ATCC8492_00739	BU_ATCC8492_00739	BU_ATCC8492_00739
OG0000864	BU_ATCC8492_00740	BU_ATCC8492_00740	BU_ATCC8492_00740
OG0000865	BU_ATCC8492_00741	BU_ATCC8492_00741	BU_ATCC8492_00741
OG0000866	BU_ATCC8492_00742	BU_ATCC8492_00742	BU_ATCC8492_00742
OG0000867	BU_ATCC8492_00743	BU_ATCC8492_00743	BU_ATCC8492_00743
OG0000868	BU_ATCC8492_00744	BU_ATCC8492_00744	BU_ATCC8492_00744
OG0000869	BU_ATCC8492_00745	BU_ATCC8492_00745	BU_ATCC8492_00745
OG0000870	BU_ATCC8492_00746	BU_ATCC8492_00746	BU_ATCC8492_00746
OG0000871	BU_ATCC8492_00747	BU_ATCC8492_00747	BU_ATCC8492_00747
OG0000872	BU_ATCC8492_00748	BU_ATCC8492_00748	BU_ATCC8492_00748
OG0000873	BU_ATCC8492_00749	BU_ATCC8492_00749	BU_ATCC8492_00749
OG0000874	BU_ATCC8492_00750	BU_ATCC8492_00750	BU_ATCC8492_00750
OG0000875	BU_ATCC8492_00751	BU_ATCC8492_00751	BU_ATCC8492_00751
OG0000876	BU_ATCC8492_00752	BU_ATCC8492_00752	BU_ATCC8492_00752
OG0000877	BU_ATCC8492_00753	BU_ATCC8492_00753	BU_ATCC8492_00753
OG0000878	BU_ATCC8492_00754	BU_ATCC8492_00754	BU_ATCC8492_00754
OG0000879	BU_ATCC8492_00755	BU_ATCC8492_00755	BU_ATCC8492_00755
OG0000880	BU_ATCC8492_00756	BU_ATCC8492_00756	BU_ATCC8492_00756
OG0000881	BU_ATCC8492_00758	BU_ATCC8492_00758	BU_ATCC8492_00758
OG0000882	BU_ATCC8492_00759	BU_ATCC8492_00759	BU_ATCC8492_00759
OG0000883	BU_ATCC8492_00760	BU_ATCC8492_00760	BU_ATCC8492_00760
OG0000884	BU_ATCC8492_00761	BU_ATCC8492_00761	BU_ATCC8492_00761
OG0000885	BU_ATCC8492_00762	BU_ATCC8492_00762	BU_ATCC8492_00762
OG0000886	BU_ATCC8492_00763	BU_ATCC8492_00763	BU_ATCC8492_00763
OG0000887	BU_ATCC8492_00764	BU_ATCC8492_00764	BU_ATCC8492_00764
OG0000888	BU_ATCC8492_00765	BU_ATCC8492_00765	BU_ATCC8492_00765
OG0000889	BU_ATCC8492_00766	BU_ATCC8492_00766	BU_ATCC8492_00766
OG0000890	BU_ATCC8492_00767	BU_ATCC8492_00767	BU_ATCC8492_00767
OG0000891	BU_ATCC8492_00768	BU_ATCC8492_00768	BU_ATCC8492_00768
OG0000892	BU_ATCC8492_00769	BU_ATCC8492_00769	BU_ATCC8492_00769
OG0000893	BU_ATCC8492_00770	BU_ATCC8492_00770	BU_ATCC8492_00770
OG0000894	BU_ATCC8492_00771	BU_ATCC8492_00771	BU_ATCC8492_00771
OG0000895	BU_ATCC8492_00772	BU_ATCC8492_00772	BU_ATCC8492_00772
OG0000896	BU_ATCC8492_00773	BU_ATCC8492_00773	BU_ATCC8492_00773
OG0000897	BU_ATCC8492_00774	BU_ATCC8492_00774	BU_ATCC8492_00774
OG0000898	BU_ATCC8492_00775	BU_ATCC8492_00775	BU_ATCC8492_00775
OG0000899	BU_ATCC8492_00776	BU_ATCC8492_00776	BU_ATCC8492_00776
OG0000900	BU_ATCC8492_00777	BU_ATCC8492_00777	BU_ATCC8492_00777
OG0000901	BU_ATCC8492_00778	BU_ATCC8492_00778	BU_ATCC8492_00778
OG0000902	BU_ATCC8492_00779	BU_ATCC8492_00779	BU_ATCC8492_00779
OG0000903	BU_ATCC8492_00780	BU_ATCC8492_00780	BU_ATCC8492_00780
OG0000904	BU_ATCC8492_00781	BU_ATCC8492_00781	BU_ATCC8492_00781
OG0000905	BU_ATCC8492_00782	BU_ATCC8492_00782	BU_ATCC8492_00782
OG0000906	BU_ATCC8492_00783	BU_ATCC8492_00783	BU_ATCC8492_00783
OG0000907	BU_ATCC8492_00784	BU_ATCC8492_00784	BU_ATCC8492_00784
OG0000908	BU_ATCC8492_00785	BU_ATCC8492_00785	BU_ATCC8492_00785
OG0000909	BU_ATCC8492_00786	BU_ATCC8492_00786	BU_ATCC8492_00786
OG0000910	BU_ATCC8492_00787	BU_ATCC8492_00787	BU_ATCC8492_00787
OG0000911	BU_ATCC8492_00788	BU_ATCC8492_00788	BU_ATCC8492_00788
OG0000912	BU_ATCC8492_00789	BU_ATCC8492_00789	BU_ATCC8492_00789
OG0000913	BU_ATCC8492_00790	BU_ATCC8492_00790	BU_ATCC8492_00790
OG0000914	BU_ATCC8492_00791	BU_ATCC8492_00791	BU_ATCC8492_00791
OG0000915	BU_ATCC8492_00792	BU_ATCC8492_00792	BU_ATCC8492_00792
OG0000916	BU_ATCC8492_00794	BU_ATCC8492_00794	BU_ATCC8492_00794
OG0000917	BU_ATCC8492_00795	BU_ATCC8492_00795	BU_ATCC8492_00795
OG0000918	BU_ATCC8492_00796	BU_ATCC8492_00796	BU_ATCC8492_00796
OG0000919	BU_ATCC8492_00797	BU_ATCC8492_00797	BU_ATCC8492_00797
OG0000920	BU_ATCC8492_00799	BU_ATCC8492_00799	BU_ATCC8492_00799
OG0000921	BU_ATCC8492_00800	BU_ATCC8492_00800	BU_ATCC8492_00800
OG0000922	BU_ATCC8492_00801	BU_ATCC8492_00801	BU_ATCC8492_00801
OG0000923	BU_ATCC8492_00802	BU_ATCC8492_00802	BU_ATCC8492_00802
OG0000924	BU_ATCC8492_00803	BU_ATCC8492_00803	BU_ATCC8492_00803
OG0000925	BU_ATCC8492_00804	BU_ATCC8492_00804	BU_ATCC8492_00804
OG0000926	BU_ATCC8492_00805	BU_ATCC8492_00805	BU_ATCC8492_00805
OG0000927	BU_ATCC8492_00808	BU_ATCC8492_00808	BU_ATCC8492_00808
OG0000928	BU_ATCC8492_00809	BU_ATCC8492_00809	BU_ATCC8492_00809
OG0000929	BU_ATCC8492_00810	BU_ATCC8492_00810	BU_ATCC8492_00810
OG0000930	BU_ATCC8492_00811	BU_ATCC8492_00811	BU_ATCC8492_00811
OG0000931	BU_ATCC8492_00812	BU_ATCC8492_00812	BU_ATCC8492_00812
OG0000932	BU_ATCC8492_00813	BU_ATCC8492_00813	BU_ATCC8492_00813
OG0000933	BU_ATCC8492_00814	BU_ATCC8492_00814	BU_ATCC8492_00814
OG0000934	BU_ATCC8492_00815	BU_ATCC8492_00815	BU_ATCC8492_00815
OG0000935	BU_ATCC8492_00816	BU_ATCC8492_00816	BU_ATCC8492_00816
OG0000936	BU_ATCC8492_00817	BU_ATCC8492_00817	BU_ATCC8492_00817
OG0000937	BU_ATCC8492_00818	BU_ATCC8492_00818	BU_ATCC8492_00818
OG0000938	BU_ATCC8492_00819	BU_ATCC8492_00819	BU_ATCC8492_00819
OG0000939	BU_ATCC8492_00820	BU_ATCC8492_00820	BU_ATCC8492_00820
OG0000940	BU_ATCC8492_00821	BU_ATCC8492_00821	BU_ATCC8492_00821
OG0000941	BU_ATCC8492_00823	BU_ATCC8492_00823	BU_ATCC8492_00823
OG0000942	BU_ATCC8492_00824	BU_ATCC8492_00824	BU_ATCC8492_00824
OG0000943	BU_ATCC8492_00825	BU_ATCC8492_00825	BU_ATCC8492_00825
OG0000944	BU_ATCC8492_00826	BU_ATCC8492_00826	BU_ATCC8492_00826
OG0000945	BU_ATCC8492_00827	BU_ATCC8492_00827	BU_ATCC8492_00827
OG0000946	BU_ATCC8492_00828	BU_ATCC8492_00828	BU_ATCC8492_00828
OG0000947	BU_ATCC8492_00829	BU_ATCC8492_00829	BU_ATCC8492_00829
OG0000948	BU_ATCC8492_00830	BU_ATCC8492_00830	BU_ATCC8492_00830
OG0000949	BU_ATCC8492_00831	BU_ATCC8492_00831	BU_ATCC8492_00831
OG0000950	BU_ATCC8492_00832	BU_ATCC8492_00832	BU_ATCC8492_00832
OG0000951	BU_ATCC8492_00833	BU_ATCC8492_00833	BU_ATCC8492_00833
OG0000952	BU_ATCC8492_00834	BU_ATCC8492_00834	BU_ATCC8492_00834
OG0000953	BU_ATCC8492_00835	BU_ATCC8492_00835	BU_ATCC8492_00835
OG0000954	BU_ATCC8492_00836	BU_ATCC8492_00836	BU_ATCC8492_00836
OG0000955	BU_ATCC8492_00837	BU_ATCC8492_00837	BU_ATCC8492_00837
OG0000956	BU_ATCC8492_00838	BU_ATCC8492_00838	BU_ATCC8492_00838
OG0000957	BU_ATCC8492_00839	BU_ATCC8492_00839	BU_ATCC8492_00839
OG0000958	BU_ATCC8492_00840	BU_ATCC8492_00840	BU_ATCC8492_00840
OG0000959	BU_ATCC8492_00841	BU_ATCC8492_00841	BU_ATCC8492_00841
OG0000960	BU_ATCC8492_00842	BU_ATCC8492_00842	BU_ATCC8492_00842
OG0000961	BU_ATCC8492_00843	BU_ATCC8492_00843	BU_ATCC8492_00843
OG0000962	BU_ATCC8492_00844	BU_ATCC8492_00844	BU_ATCC8492_00844
OG0000963	BU_ATCC8492_00845	BU_ATCC8492_00845	BU_ATCC8492_00845
OG0000964	BU_ATCC8492_00846	BU_ATCC8492_00846	BU_ATCC8492_00846
OG0000965	BU_ATCC8492_00847	BU_ATCC8492_00847	BU_ATCC8492_00847
OG0000966	BU_ATCC8492_00848	BU_ATCC8492_00848	BU_ATCC8492_00848
OG0000967	BU_ATCC8492_00849	BU_ATCC8492_00849	BU_ATCC8492_00849
OG0000968	BU_ATCC8492_00850	BU_ATCC8492_00850	BU_ATCC8492_00850
OG0000969	BU_ATCC8492_00851	BU_ATCC8492_00851	BU_ATCC8492_00851
OG0000970	BU_ATCC8492_00852	BU_ATCC8492_00852	BU_ATCC8492_00852
OG0000971	BU_ATCC8492_00853	BU_ATCC8492_00853	BU_ATCC8492_00853
OG0000972	BU_ATCC8492_00854	BU_ATCC8492_00854	BU_ATCC8492_00854
OG0000973	BU_ATCC8492_00855	BU_ATCC8492_00855	BU_ATCC8492_00855
OG0000974	BU_ATCC8492_00856	BU_ATCC8492_00856	BU_ATCC8492_00856
OG0000975	BU_ATCC8492_00857	BU_ATCC8492_00857	BU_ATCC8492_00857
OG0000976	BU_ATCC8492_00858	BU_ATCC8492_00858	BU_ATCC8492_00858
OG0000977	BU_ATCC8492_00859	BU_ATCC8492_00859	BU_ATCC8492_00859
OG0000978	BU_ATCC8492_00860	BU_ATCC8492_00860	BU_ATCC8492_00860
OG0000979	BU_ATCC8492_00861	BU_ATCC8492_00861	BU_ATCC8492_00861
OG0000980	BU_ATCC8492_00862	BU_ATCC8492_00862	BU_ATCC8492_00862
OG0000981	BU_ATCC8492_00863	BU_ATCC8492_00863	BU_ATCC8492_00863
OG0000982	BU_ATCC8492_00864	BU_ATCC8492_00864	BU_ATCC8492_00864
OG0000983	BU_ATCC8492_00865	BU_ATCC8492_00865	BU_ATCC8492_00865
OG0000984	BU_ATCC8492_00866	BU_ATCC8492_00866	BU_ATCC8492_00866
OG0000985	BU_ATCC8492_00867	BU_ATCC8492_00867	BU_ATCC8492_00867
OG0000986	BU_ATCC8492_00868	BU_ATCC8492_00868	BU_ATCC8492_00868
OG0000987	BU_ATCC8492_00869	BU_ATCC8492_00869	BU_ATCC8492_00869
OG0000988	BU_ATCC8492_00870	BU_ATCC8492_00870	BU_ATCC8492_00870
OG0000989	BU_ATCC8492_00871	BU_ATCC8492_00871	BU_ATCC8492_00871
OG0000990	BU_ATCC8492_00872	BU_ATCC8492_00872	BU_ATCC8492_00872
OG0000991	BU_ATCC8492_00873	BU_ATCC8492_00873	BU_ATCC8492_00873
OG0000992	BU_ATCC8492_00874	BU_ATCC8492_00874	BU_ATCC8492_00874
OG0000993	BU_ATCC8492_00875	BU_ATCC8492_00875	BU_ATCC8492_00875
OG0000994	BU_ATCC8492_00876	BU_ATCC8492_00876	BU_ATCC8492_00876
OG0000995	BU_ATCC8492_00877	BU_ATCC8492_00877	BU_ATCC8492_00877
OG0000996	BU_ATCC8492_00878	BU_ATCC8492_00878	BU_ATCC8492_00878
OG0000997	BU_ATCC8492_00880	BU_ATCC8492_00880	BU_ATCC8492_00880
OG0000998	BU_ATCC8492_00881	BU_ATCC8492_00881	BU_ATCC8492_00881
OG0000999	BU_ATCC8492_00882	BU_ATCC8492_00882	BU_ATCC8492_00882
OG0001000	BU_ATCC8492_00884	BU_ATCC8492_00884	BU_ATCC8492_00884
OG0001001	BU_ATCC8492_00885	BU_ATCC8492_00885	BU_ATCC8492_00885
OG0001002	BU_ATCC8492_00886	BU_ATCC8492_00886	BU_ATCC8492_00886
OG0001003	BU_ATCC8492_00887	BU_ATCC8492_00887	BU_ATCC8492_00887
OG0001004	BU_ATCC8492_00889	BU_ATCC8492_00889	BU_ATCC8492_00889
OG0001005	BU_ATCC8492_00890	BU_ATCC8492_00890	BU_ATCC8492_00890
OG0001006	BU_ATCC8492_00891	BU_ATCC8492_00891	BU_ATCC8492_00891
OG0001007	BU_ATCC8492_00892	BU_ATCC8492_00892	BU_ATCC8492_00892
OG0001008	BU_ATCC8492_00893	BU_ATCC8492_00893	BU_ATCC8492_00893
OG0001009	BU_ATCC8492_00894	BU_ATCC8492_00894	BU_ATCC8492_00894
OG0001010	BU_ATCC8492_00895	BU_ATCC8492_00895	BU_ATCC8492_00895
OG0001011	BU_ATCC8492_00896	BU_ATCC8492_00896	BU_ATCC8492_00896
OG0001012	BU_ATCC8492_00897	BU_ATCC8492_00897	BU_ATCC8492_00897
OG0001013	BU_ATCC8492_00898	BU_ATCC8492_00898	BU_ATCC8492_00898
OG0001014	BU_ATCC8492_00899	BU_ATCC8492_00899	BU_ATCC8492_00899
OG0001015	BU_ATCC8492_00900	BU_ATCC8492_00900	BU_ATCC8492_00900
OG0001016	BU_ATCC8492_00902	BU_ATCC8492_00902	BU_ATCC8492_00902
OG0001017	BU_ATCC8492_00903	BU_ATCC8492_00903	BU_ATCC8492_00903
OG0001018	BU_ATCC8492_00904	BU_ATCC8492_00904	BU_ATCC8492_00904
OG0001019	BU_ATCC8492_00905	BU_ATCC8492_00905	BU_ATCC8492_00905
OG0001020	BU_ATCC8492_00906	BU_ATCC8492_00906	BU_ATCC8492_00906
OG0001021	BU_ATCC8492_00907	BU_ATCC8492_00907	BU_ATCC8492_00907
OG0001022	BU_ATCC8492_00908	BU_ATCC8492_00908	BU_ATCC8492_00908
OG0001023	BU_ATCC8492_00909	BU_ATCC8492_00909	BU_ATCC8492_00909
OG0001024	BU_ATCC8492_00910	BU_ATCC8492_00910	BU_ATCC8492_00910
OG0001025	BU_ATCC8492_00911	BU_ATCC8492_00911	BU_ATCC8492_00911
OG0001026	BU_ATCC8492_00912	BU_ATCC8492_00912	BU_ATCC8492_00912
OG0001027	BU_ATCC8492_00913	BU_ATCC8492_00913	BU_ATCC8492_00913
OG0001028	BU_ATCC8492_00914	BU_ATCC8492_00914	BU_ATCC8492_00914
OG0001029	BU_ATCC8492_00915	BU_ATCC8492_00915	BU_ATCC8492_00915
OG0001030	BU_ATCC8492_00917	BU_ATCC8492_00917	BU_ATCC8492_00917
OG0001031	BU_ATCC8492_00918	BU_ATCC8492_00918	BU_ATCC8492_00918
OG0001032	BU_ATCC8492_00919	BU_ATCC8492_00919	BU_ATCC8492_00919
OG0001033	BU_ATCC8492_00921	BU_ATCC8492_00921	BU_ATCC8492_00921
OG0001034	BU_ATCC8492_00922	BU_ATCC8492_00922	BU_ATCC8492_00922
OG0001035	BU_ATCC8492_00923	BU_ATCC8492_00923	BU_ATCC8492_00923
OG0001036	BU_ATCC8492_00924	BU_ATCC8492_00924	BU_ATCC8492_00924
OG0001037	BU_ATCC8492_00925	BU_ATCC8492_00925	BU_ATCC8492_00925
OG0001038	BU_ATCC8492_00926	BU_ATCC8492_00926	BU_ATCC8492_00926
OG0001039	BU_ATCC8492_00927	BU_ATCC8492_00927	BU_ATCC8492_00927
OG0001040	BU_ATCC8492_00928	BU_ATCC8492_00928	BU_ATCC8492_00928
OG0001041	BU_ATCC8492_00929	BU_ATCC8492_00929	BU_ATCC8492_00929
OG0001042	BU_ATCC8492_00930	BU_ATCC8492_00930	BU_ATCC8492_00930
OG0001043	BU_ATCC8492_00931	BU_ATCC8492_00931	BU_ATCC8492_00931
OG0001044	BU_ATCC8492_00932	BU_ATCC8492_00932	BU_ATCC8492_00932
OG0001045	BU_ATCC8492_00933	BU_ATCC8492_00933	BU_ATCC8492_00933
OG0001046	BU_ATCC8492_00934	BU_ATCC8492_00934	BU_ATCC8492_00934
OG0001047	BU_ATCC8492_00935	BU_ATCC8492_00935	BU_ATCC8492_00935
OG0001048	BU_ATCC8492_00936	BU_ATCC8492_00936	BU_ATCC8492_00936
OG0001049	BU_ATCC8492_00937	BU_ATCC8492_00937	BU_ATCC8492_00937
OG0001050	BU_ATCC8492_00938	BU_ATCC8492_00938	BU_ATCC8492_00938
OG0001051	BU_ATCC8492_00939	BU_ATCC8492_00939	BU_ATCC8492_00939
OG0001052	BU_ATCC8492_00940	BU_ATCC8492_00940	BU_ATCC8492_00940
OG0001053	BU_ATCC8492_00941	BU_ATCC8492_00941	BU_ATCC8492_00941
OG0001054	BU_ATCC8492_00942	BU_ATCC8492_00942	BU_ATCC8492_00942
OG0001055	BU_ATCC8492_00944	BU_ATCC8492_00944	BU_ATCC8492_00944
OG0001056	BU_ATCC8492_00945	BU_ATCC8492_00945	BU_ATCC8492_00945
OG0001057	BU_ATCC8492_00946	BU_ATCC8492_00946	BU_ATCC8492_00946
OG0001058	BU_ATCC8492_00947	BU_ATCC8492_00947	BU_ATCC8492_00947
OG0001059	BU_ATCC8492_00948	BU_ATCC8492_00948	BU_ATCC8492_00948
OG0001060	BU_ATCC8492_00949	BU_ATCC8492_00949	BU_ATCC8492_00949
OG0001061	BU_ATCC8492_00950	BU_ATCC8492_00950	BU_ATCC8492_00950
OG0001062	BU_ATCC8492_00951	BU_ATCC8492_00951	BU_ATCC8492_00951
OG0001063	BU_ATCC8492_00952	BU_ATCC8492_00952	BU_ATCC8492_00952
OG0001064	BU_ATCC8492_00953	BU_ATCC8492_00953	BU_ATCC8492_00953
OG0001065	BU_ATCC8492_00954	BU_ATCC8492_00954	BU_ATCC8492_00954
OG0001066	BU_ATCC8492_00955	BU_ATCC8492_00955	BU_ATCC8492_00955
OG0001067	BU_ATCC8492_00956	BU_ATCC8492_00956	BU_ATCC8492_00956
OG0001068	BU_ATCC8492_00957	BU_ATCC8492_00957	BU_ATCC8492_00957
OG0001069	BU_ATCC8492_00958	BU_ATCC8492_00958	BU_ATCC8492_00958
OG0001070	BU_ATCC8492_00959	BU_ATCC8492_00959	BU_ATCC8492_00959
OG0001071	BU_ATCC8492_00960	BU_ATCC8492_00960	BU_ATCC8492_00960
OG0001072	BU_ATCC8492_00961	BU_ATCC8492_00961	BU_ATCC8492_00961
OG0001073	BU_ATCC8492_00962	BU_ATCC8492_00962	BU_ATCC8492_00962
OG0001074	BU_ATCC8492_00963	BU_ATCC8492_00963	BU_ATCC8492_00963
OG0001075	BU_ATCC8492_00964	BU_ATCC8492_00964	BU_ATCC8492_00964
OG0001076	BU_ATCC8492_00965	BU_ATCC8492_00965	BU_ATCC8492_00965
OG0001077	BU_ATCC8492_00966	BU_ATCC8492_00966	BU_ATCC8492_00966
OG0001078	BU_ATCC8492_00967	BU_ATCC8492_00967	BU_ATCC8492_00967
OG0001079	BU_ATCC8492_00968	BU_ATCC8492_00968	BU_ATCC8492_00968
OG0001080	BU_ATCC8492_00969	BU_ATCC8492_00969	BU_ATCC8492_00969
OG0001081	BU_ATCC8492_00970	BU_ATCC8492_00970	BU_ATCC8492_00970
OG0001082	BU_ATCC8492_00971	BU_ATCC8492_00971	BU_ATCC8492_00971
OG0001083	BU_ATCC8492_00972	BU_ATCC8492_00972	BU_ATCC8492_00972
OG0001084	BU_ATCC8492_00973	BU_ATCC8492_00973	BU_ATCC8492_00973
OG0001085	BU_ATCC8492_00974	BU_ATCC8492_00974	BU_ATCC8492_00974
OG0001086	BU_ATCC8492_00975	BU_ATCC8492_00975	BU_ATCC8492_00975
OG0001087	BU_ATCC8492_00976	BU_ATCC8492_00976	BU_ATCC8492_00976
OG0001088	BU_ATCC8492_00977	BU_ATCC8492_00977	BU_ATCC8492_00977
OG0001089	BU_ATCC8492_00978	BU_ATCC8492_00978	BU_ATCC8492_00978
OG0001090	BU_ATCC8492_00980	BU_ATCC8492_00980	BU_ATCC8492_00980
OG0001091	BU_ATCC8492_00984	BU_ATCC8492_00984	BU_ATCC8492_00984
OG0001092	BU_ATCC8492_00985	BU_ATCC8492_00985	BU_ATCC8492_00985
OG0001093	BU_ATCC8492_00986	BU_ATCC8492_00986	BU_ATCC8492_00986
OG0001094	BU_ATCC8492_00987	BU_ATCC8492_00987	BU_ATCC8492_00987
OG0001095	BU_ATCC8492_00988	BU_ATCC8492_00988	BU_ATCC8492_00988
OG0001096	BU_ATCC8492_00991	BU_ATCC8492_00991	BU_ATCC8492_00991
OG0001097	BU_ATCC8492_00992	BU_ATCC8492_00992	BU_ATCC8492_00992
OG0001098	BU_ATCC8492_00993	BU_ATCC8492_00993	BU_ATCC8492_00993
OG0001099	BU_ATCC8492_00994	BU_ATCC8492_00994	BU_ATCC8492_00994
OG0001100	BU_ATCC8492_00995	BU_ATCC8492_00995	BU_ATCC8492_00995
OG0001101	BU_ATCC8492_00998	BU_ATCC8492_00998	BU_ATCC8492_00998
OG0001102	BU_ATCC8492_00999	BU_ATCC8492_00999	BU_ATCC8492_00999
OG0001103	BU_ATCC8492_01000	BU_ATCC8492_01000	BU_ATCC8492_01000
OG0001104	BU_ATCC8492_01001	BU_ATCC8492_01001	BU_ATCC8492_01001
OG0001105	BU_ATCC8492_01002	BU_ATCC8492_01002	BU_ATCC8492_01002
OG0001106	BU_ATCC8492_01003	BU_ATCC8492_01003	BU_ATCC8492_01003
OG0001107	BU_ATCC8492_01004	BU_ATCC8492_01004	BU_ATCC8492_01004
OG0001108	BU_ATCC8492_01005	BU_ATCC8492_01005	BU_ATCC8492_01005
OG0001109	BU_ATCC8492_01006	BU_ATCC8492_01006	BU_ATCC8492_01006
OG0001110	BU_ATCC8492_01008	BU_ATCC8492_01008	BU_ATCC8492_01008
OG0001111	BU_ATCC8492_01009	BU_ATCC8492_01009	BU_ATCC8492_01009
OG0001112	BU_ATCC8492_01010	BU_ATCC8492_01010	BU_ATCC8492_01010
OG0001113	BU_ATCC8492_01011	BU_ATCC8492_01011	BU_ATCC8492_01011
OG0001114	BU_ATCC8492_01012	BU_ATCC8492_01012	BU_ATCC8492_01012
OG0001115	BU_ATCC8492_01013	BU_ATCC8492_01013	BU_ATCC8492_01013
OG0001116	BU_ATCC8492_01014	BU_ATCC8492_01014	BU_ATCC8492_01014
OG0001117	BU_ATCC8492_01015	BU_ATCC8492_01015	BU_ATCC8492_01015
OG0001118	BU_ATCC8492_01016	BU_ATCC8492_01016	BU_ATCC8492_01016
OG0001119	BU_ATCC8492_01017	BU_ATCC8492_01017	BU_ATCC8492_01017
OG0001120	BU_ATCC8492_01018	BU_ATCC8492_01018	BU_ATCC8492_01018
OG0001121	BU_ATCC8492_01019	BU_ATCC8492_01019	BU_ATCC8492_01019
OG0001122	BU_ATCC8492_01020	BU_ATCC8492_01020	BU_ATCC8492_01020
OG0001123	BU_ATCC8492_01021	BU_ATCC8492_01021	BU_ATCC8492_01021
